names,scores,logfoldchanges,pvals,pvals_adj
RPS28,-93.06789,-0.7774935,0.0,0.0
RPL18,-95.68382,-0.75958914,0.0,0.0
RPS15A,-96.294235,-0.728245,0.0,0.0
RPL36A,-96.47516,-2.2891762,0.0,0.0
RPL29,-96.9423,-0.8111276,0.0,0.0
RPS5,-97.04346,-0.9872337,0.0,0.0
EEF1B2,-98.89667,-1.2116767,0.0,0.0
RPL9,-99.644516,-1.037416,0.0,0.0
RPL18A,-99.82319,-0.805796,0.0,0.0
RPL5,-99.8261,-1.0025697,0.0,0.0
RPS21,-99.85201,-1.0649929,0.0,0.0
RPL35A,-99.8929,-0.8822659,0.0,0.0
TPT1,-100.42101,-0.774749,0.0,0.0
RPL28,-101.029785,-0.6679085,0.0,0.0
RPS4X,-101.05088,-0.9324812,0.0,0.0
RPS25,-101.37448,-0.853037,0.0,0.0
RPLP2,-101.8206,-0.9243971,0.0,0.0
RPS18,-103.498405,-0.9349429,0.0,0.0
RPS6,-104.30245,-0.9246119,0.0,0.0
RPL39,-104.84385,-0.9557778,0.0,0.0
RPS13,-107.259056,-1.0201824,0.0,0.0
RPL3,-107.9611,-1.0031631,0.0,0.0
RPL19,-107.986496,-0.87557334,0.0,0.0
RPS23,-108.332436,-0.9311233,0.0,0.0
RPS8,-109.16942,-1.0005553,0.0,0.0
RPL11,-110.44711,-0.9299903,0.0,0.0
RPL14,-111.05113,-0.98253995,0.0,0.0
EEF1A1,-111.76691,-0.8648162,0.0,0.0
RPS27A,-111.7987,-0.92391646,0.0,0.0
RPS14,-112.09436,-0.9676809,0.0,0.0
RPS3A,-112.40743,-1.1247848,0.0,0.0
RPL34,-112.8909,-1.0804276,0.0,0.0
RPS3,-116.2718,-0.95600986,0.0,0.0
RPL13,-116.440834,-0.9330679,0.0,0.0
RPL30,-118.78606,-1.0498245,0.0,0.0
RPL10,-118.875534,-0.98038566,0.0,0.0
RPL32,-118.90676,-1.0788087,0.0,0.0
RPS12,-126.23158,-1.2221239,0.0,0.0
PDIA6,37.4857,0.94367397,1.5750730807237283e-307,3.3322139311175557e-306
MGAT4A,-37.43057,-1.3456472,1.2439790492355628e-306,2.622862583202415e-305
HLA-DRA,37.42103,1.4705616,1.7783366256803948e-306,3.7369019800913614e-305
EFHD2,37.32429,1.0539325,6.626080035517173e-305,1.387696828914855e-303
GIMAP1,-37.323704,-1.5394713,6.772670502367989e-305,1.4136533981698534e-303
ITGAE,37.054375,1.5697896,1.526955100086205e-300,3.1765755932126687e-299
FOXP1,-36.921146,-0.9890033,2.116003771416539e-298,4.3873686170799404e-297
DUSP1,36.785084,0.7239997,3.197594208635611e-296,6.608008429170479e-295
LIMA1,36.783875,1.6816418,3.343085563917615e-296,6.885873598815127e-295
NDFIP2,36.718536,2.0373664,3.6965106231565284e-295,7.588790394447333e-294
WIPF1,36.653355,0.67750657,4.045967093833073e-294,8.278977256594167e-293
LGALS3,36.59214,1.0943577,3.814035823319381e-293,7.778888095861521e-292
GADD45G,36.397156,1.8536121,4.721758671866006e-290,9.598858589939981e-289
SYNGR2,36.312504,0.94633555,1.0271784438376777e-288,2.0813703467503073e-287
JUN,36.254993,0.74400765,8.290167518886689e-288,1.6743992066463372e-286
RABGAP1L,36.18365,0.91253847,1.100607795412152e-286,2.2157720165055616e-285
CARD16,36.162724,0.96388364,2.347687506688929e-286,4.7112275656738286e-285
